ident,name,country_code,airport
FID,FITZROY ISLAND,AU,
FGN,FLEMINGTON,AU,
FPK,FLINDERS PEAK,AU,
FMN,FORMARTIN,AU,
FDL,FORRESTDALE LAKE,AU,
FFLD,FORRESTFIELD,AU,
FOWB,FOWLERS BAY,AU,
FRLG,FREELING,AU,
FWO,FREEWAY OVERPASS,AU,
FRE,FREMANTLE,AU,
FREM,FREMANTLE GOLF COURSE,AU,
FRWV,FRESHWATER VALLEY,AU,
GGN,GALLANGOWAN,AU,
GAE,GALLILEE,AU,
GWTR,GAOL WATER TOWER,AU,
GST,GATE SOUTH,AU,
GWT,GATE WEST,AU,
GWB,GATEWAY BRIDGE,AU,
GWDM,GAWLER DAM,AU,
GEK,GEMBROOK,AU,
GRB,GEORGES RIVER BRIDGE,AU,
GEP,GEPPS CROSS,AU,
GOY,GEROGERY,AU,
GNR,GIBSON REEF,AU,
GIM,GILBERLAND MINE,AU,
GVB,GLADESVILLE BRIDGE,AU,
GBRY,GLEN BRAY,AU,
GBR,GLENBURN,AU,
GLEN,GLENLOCH INTERCHANGE,AU,
GMN,GLENMORGAN,AU,
GLC,GLENORCHY,AU,
GRE,GLENREAGH,AU,
GRK,GLENROCK HS,AU,
GCR,GLOUCESTER,AU,
GOI,GOLDSMITH ISLAND,AU,
GON,GOODNA,AU,
GGV,GOOGONG RESV,AU,
GMBG,GOOMBUNGEE,AU,
GNN,GOONANEMAN,AU,
GGO,GOONOO GOONOO HS,AU,
GOV,GORDONVALE,AU,
GOW,GOWRIE JUNCTION,AU,
GRAA,GRANYA,AU,
GVH,GRAVELLY BEACH,AU,
GRHL,GREEN HILLS,AU,
GNIS,GREEN ISLAND (CAIRNS),AU,
GRL,GREEN ISLAND (MACKAY),AU,
GRNH,GREENHILL,AU,
GNM,GREENMOUNT,AU,
GRRV,GROSE RIVER,AU,
GDG,GUNDAGAI,AU,
GUP,GUNN PT,AU,
GUNN,GUNNING,AU,
GUNG,GUTHALUNGRA,AU,
HSP,HADSPEN,AU,
HMM,HAMMOND ISLAND,AU,
HMN,HAMPTON,AU,
HAVY,HAPPY VALLEY,AU,
HBB,HARBOUR BRIDGE,AU,
HAF,HAREFIELD,AU,
HGTE,HARROGATE,AU,
HARV,HARVEY,AU,
HSTI,HASTINGS,AU,
HASS,HASTINGS PT,AU,
HATF,HATFIELD,AU,
HVI,HAVANNAH ISLAND,AU,
HPT,HAY PT,AU,
HAZ,HAZELWOOD ISLAND,AU,
HEAT,HEATHCOTE TOWNSHIP,AU,
HRR,HELENA RIVER RESV,AU,
HNB,HELENSBURGH,AU,
HED,HELIDON,AU,
HNLY,HENLEY JETTY,AU,
HKE,HERDSMAN LAKE,AU,
HXB,HEXHAM BRIDGE,AU,
HIPA,HIGH PERFORMANCE AREA 3,AU,
HVTG,HIGH VOLTAGE,AU,
HIM,HILTON MINE,AU,
HNCH,HINCHINBROOK ISLAND,AU,
HDWL,HINZE DAM WALL,AU,
HCTY,HOBART CBD,AU,
HBKT,HOLBROOK TOWNSHIP,AU,
HOLM,HOLMES REEF,AU,
HBU,HOMEBUSH,AU,
HDP,HOOD PT,AU,
HPI,HOPE INLET,AU,
HVR,HOPE VALLEY RESV,AU,
HORD,HORDERN HILLS,AU,
HZWF,HORIZONTAL WATERFALLS,AU,
HBVT,HORNIBROOK VIADUCT,AU,
HSY,HORNSBY,AU,
HST,HOSKINSTOWN,AU,
HWG,HOWLONG,AU,
HGR,HUGH RIVER,AU,
HWW,HUME WEIR WALL,AU,
HYH,HUMMOCKY HILLS,AU,
HRD,HUNGERFORD,AU,
IND,INDEE HS,AU,
IDNA,INDIANA,AU,
IDK,INDULKANA TOWNSHIP,AU,
INGL,INGLEBURN,AU,
IPHL,IPPIA HILL,AU,
ISB,ISRAELITE BAY,AU,
JAC,JACKO'S JUNCTION,AU,
JNR,JACKSON RIVER,AU,
JSL,JACOB'S SUGARLOAF,AU,
JACW,JACOB'S WELL,AU,
JMPP,JAMES PRICE POINT,AU,
JADL,JARRAHDALE,AU,
JCK,JAY CREEK,AU,
JEA,JEANNIE RIVER,AU,
JES,JESSIE GAP,AU,
JIBN,JIBBON PT,AU,
JIA,JINDERA,AU,
JDN,JONDARYAN,AU,
JGK,JUG CREEK,AU,
JPP,JUMPINPIN,AU,
JUP,JUPITERS CASINO,AU,
KKN,KAIMKILLENBUN,AU,
KAO,KALKALLO,AU,
KTS,KEATS ISLAND,AU,
KERW,KEERWEE,AU,
KALL,KENDALL,AU,
KSI,KESWICK ISLAND,AU,
KIAN,KIANDRA,AU,
KDBF,KIDSON BLUFF,AU,
KLCY,KILCOY TOWNSHIP,AU,
KKV,KILKIVAN,AU,
KIM,KILMORE,AU,
KMG,KILMORE GAP,AU,
KCAS,KING CASCADES,AU,
KRT,KING RANCH TULLY,AU,
KGLE,KINGLAKE,AU,
KBCH,KINGS BEACH,AU,
KCFF,KINGSCLIFF,AU,
KGT,KINGSTHORPE,AU,
KINN,KINGSTON CENTRE,AU,
KSPT,KISSING POINT,AU,
KNW,KONGWAK,AU,
KTG,KOOLATONG RIVER,AU,
KBD,KOOMBOOLOOMBA DAM,AU,
KOOM,KOOMOOLOOBOOKA CAVE,AU,
KANC,KOORANA CROCODILE FARM,AU,
KOT,KOOTINGAL,AU,
KOPP,KOPPEN PARK,AU,
KREE,KOREELAH,AU,
KUN,KUNWARARA,AU,
KRN,KURANDA,AU,
KRMD,KURMOND,AU,
KYP,KYEAMBA PARK,AU,
KYE,KYEAMBA TOWER,AU,
KTN,KYNETON,AU,
LDH,LADYSMITH,AU,
LDLY,LAIDLEY,AU,
LKT,LAKE ALBERT,AU,
